BRANDY CREEK;3821;47
BRANXHOLME;3302;432
BRAVINGTON;3821;9
BRAYBROOK;3019;4469
BREAKAWAY CREEK;3303;86
BREAKWATER;3219;995
BREAMLEA;3227;125
BRENANAH;3517;101
BREWSTER;3352;37
BRIAGOLONG;3860;762
BRIAR HILL;3088;1744
BRIDGE CREEK;3723;120
BRIDGEWATER;3516;222
BRIDGEWATER NORTH;3516;67
BRIDGEWATER ON LODDON;3516;256
BRIGHT;3741;2367
BRIGHTON;3186;14489
BRIGHTON EAST;3187;7990
BRIM;3391;239
BRIMBOAL;3312;23
BRIMIN;3685;64
BRIMPAEN;3401;145
BRINGALBERT;3319;52
BRIT BRIT;3315;32
BROADFORD;3658;2296
BROADLANDS;3875;11
BROADMEADOWS;3047;5754
BROADWATER;3301;83
BRODRIBB RIVER;3888;121
BROKEN CREEK;3673;34
BROMLEY;3472;78
BROOKFIELD;3338;3753
BROOKLYN;3012;1795
BROOKVILLE;3896;45
BROOMFIELD;3364;127
BROUGHTON;3418;88
BROWN HILL;3350;1936
BROWNS PLAINS;3685;111
BRUARONG;3749;158
BRUCKNELL;3268;74
BRUMBY;3885;15
BRUNSWICK;3056;16184
BRUNSWICK EAST;3057;6795
BRUNSWICK WEST;3055;9767
BRUTHEN;3885;597
BUANGOR;3375;183
BUCHAN;3885;429
BUCHAN SOUTH;3885;178
BUCKLAND;3740;226
BUCKLEY;3240;125
BUCKLEY SWAMP;3301;36
BUCKRABANYULE;3525;136
BUDGEE BUDGEE;3862;3
BUDGEREE;3870;113
BUDGERUM EAST;3579;7
BUFFALO;3958;225
BUFFALO RIVER;3737;215
BULART;3314;91
BULDAH;3890;38
BULGA;3586;28
BULGANA;3377;51
BULLA;3428;342
BULLAHARRE;3266;13
BULLAROOK;3352;83
BULLARTO;3461;88
BULLARTO SOUTH;3461;63
BULLEEN;3105;5342
BULLENGAROOK;3437;295
BULLIOH;3700;88
BULLUMWAAL;3875;82
BULN BULN;3821;227
BULN BULN EAST;3821;104
BUMBERRAH;3902;48
BUNBARTHA;3634;189
BUNDALAGUAH;3851;122
BUNDALONG;3730;618
BUNDALONG SOUTH;3730;56
BUNDARA;3898;2
BUNDING;3342;72
BUNDOORA;3083;12468
BUNG BONG;3465;151
BUNGADOR;3260;52
BUNGAL;3334;58
BUNGALALLY;3401;106
BUNGAREE;3352;192
BUNGEET;3726;15
BUNGEET WEST;3726;39
BUNGIL;3691;26
BUNGULUKE;3527;41
BUNINYONG;3357;1837
BUNKERS HILL;3352;125
BUNYIP;3815;1374
BUNYIP NORTH;3815;54
BURAGWONDUC;3858;2
BURKES BRIDGE;3568;21
BURKES FLAT;3475;56
BURNBANK;3371;77
BURNEWANG;3558;40
BURNLEY;3121;742
BURNSIDE;3023;1769
BURNSIDE HEIGHTS;3023;1881
BURRAMBOOT;3559;126
BURRAMINE;3730;165
BURRAMINE SOUTH;3730;54
BURROWYE;3709;96
BURRUMBEET;3352;183
BURWOOD;3125;7686
BURWOOD EAST;3151;4817
BUSHFIELD;3281;258
BUSHY PARK;3860;46
BUTCHERS RIDGE;3885;40
BUXTON;3711;471
BYADUK;3301;203
BYADUK NORTH;3300;126
BYAWATHA;3678;160
BYLANDS;3762;86
BYRNESIDE;3617;115
CABARITA;3505;214
CABBAGE TREE;3364;14
CABBAGE TREE CREEK;3889;152
CADELLO;3442;24
CAIRNLEA;3023;3028
CALDER PARK;3037;10
CALDERMEADE;3984;115
CALIFORNIA GULLY;3556;2331
CALIVIL;3573;195
CALLAWADDA;3387;124
CALLIGNEE;3844;209
CALLIGNEE NORTH;3844;31
CALLIGNEE SOUTH;3844;15
CALROSSIE;3971;22
CALULU;3875;98
CAMBARVILLE;3779;13
CAMBERWELL;3124;11960
CAMBRIAN HILL;3352;128
CAMPBELLFIELD;3061;5853
CAMPBELLS BRIDGE;3387;76
CAMPBELLS CREEK;3451;1183
CAMPBELLS FOREST;3556;57
CAMPBELLTOWN;3364;110
CAMPERDOWN;3260;2159
CANADIAN;3350;1977
CANARY ISLAND;3537;28
CANIAMBO;3630;121
CANN RIVER;3890;301
CANNIE;3540;40
CANNONS CREEK;3977;304
CANNUM;3393;96
CANTERBURY;3126;4039
CAPE BRIDGEWATER;3305;234
CAPE CLEAR;3351;140
CAPE CONRAN;3888;14
CAPE OTWAY;3233;53
CAPE PATERSON;3995;1282
CAPE SCHANCK;3939;581
CAPE WOOLAMAI;3925;1944
CAPELS CROSSING;3579;50
CARAG CARAG;3623;72
CARALULUP;3371;30
CARAMUT;3274;245
CARAPOOEE;3477;148
CARAPOOEE WEST;3477;49
CARAPOOK;3312;68
CARBOOR;3678;127
CARDIGAN;3352;365
CARDIGAN VILLAGE;3352;234
CARDINIA;3978;193
CARDROSS;3496;490
CARGERIE;3334;24
CARINA;3512;56
CARINGAL;3825;68
CARISBROOK;3464;813
CARLISLE RIVER;3239;397
CARLSRUHE;3442;223
CARLTON;3053;13345
CARLTON NORTH;3054;3873
CARLYLE;3685;89
CARNEGIE;3163;11543
CARNGHAM;3351;115
CAROLINE SPRINGS;3023;8588
CARPENDEIT;3260;97
CARRAJUNG;3844;121
CARRAJUNG LOWER;3844;112
CARRAJUNG SOUTH;3844;34
CARRANBALLAC;3361;47
CARRON;3480;27
CARRUM;3197;2633
CARRUM DOWNS;3201;10916
CARWARP;3494;171
CASHMORE;3305;148
CASSILIS;3898;56
CASTELLA;3777;155
CASTERTON;3311;1404
CASTLE CREEK;3691;37
CASTLE DONNINGTON;3585;94
CASTLEMAINE;3450;4880
CATANI;3981;173
CATHCART;3377;103
CATHKIN;3714;36
CATUMNAL;3537;30
CAULFIELD;3162;3396
CAULFIELD EAST;3145;972
CAULFIELD NORTH;3161;9688
CAULFIELD SOUTH;3162;6492
CAVEAT;3660;76
CAVENDISH;3314;369
CERES;3221;124
CHADSTONE;3148;4642
CHANDLERS CREEK;3890;54
CHAPEL FLAT;3352;4
CHAPPLE VALE;3239;125
CHARAM;3318;88
CHARLEMONT;3217;147
CHARLEROI;3695;58
CHARLTON;3525;1016
CHATSWORTH;3379;106
CHELSEA;3196;5330
CHELSEA HEIGHTS;3196;2269
CHELTENHAM;3192;13992
CHEPSTOWE;3351;68
CHEROKEE;3434;42
CHERRYPOOL;3401;13
CHESHUNT;3678;204
CHESHUNT SOUTH;3678;8
CHESNEY VALE;3725;124
CHETWYND;3312;252
CHEWTON;3451;647
CHEWTON BUSHLANDS;3451;53
CHILDERS;3824;72
CHILLINGOLLAH;3585;56
CHILTERN;3683;1120
CHILTERN VALLEY;3683;88
CHINANGIN;3544;25
CHINKAPOOK;3546;142
CHINTIN;3756;48
CHIRNSIDE PARK;3116;4754
CHIRRIP;3525;18
CHOCOLYN;3260;47
CHRISTMAS HILLS;3775;260
CHUM CREEK;3777;484
CHURCHILL;3842;2544
CHURCHILL ISLAND;3925;1
CHUTE;3373;51
CLARENDON;3352;105
CLARETOWN;3352;32
CLARINDA;3169;3120
CLARKEFIELD;3430;177
CLARKES HILL;3352;58
CLAYTON;3168;9950
CLAYTON SOUTH;3169;6807
CLEAR LAKE;3409;121
CLEMATIS;3782;152
CLIFTON CREEK;3875;145
CLIFTON HILL;3068;3555
CLIFTON SPRINGS;3222;3906
CLONBINANE;3658;240
CLOVER FLAT;3315;28
CLOVERLEA;3822;88
CLUB TERRACE;3889;261
CLUNES;3370;1492
CLYDE;3978;932
CLYDE NORTH;3978;3567
CLYDEBANK;3851;139
CLYDESDALE;3461;79
COALVILLE;3825;69
COBAINS;3851;165
COBAW;3442;47
COBBANNAH;3862;71
COBBERAS;3900;7
COBDEN;3266;1086
COBRAM;3644;3840
COBRAM EAST;3644;134
COBRICO;3266;72
COBUNGRA;3898;180
COBURG;3058;14088
COBURG NORTH;3058;5047
COCAMBA;3546;34
COCHRANES CREEK;3475;47
COCKATOO;3781;1877
COCOROC;3030;16
CODRINGTON;3285;74
COGHILLS CREEK;3364;51
COHUNA;3568;1580
COIMADAI;3340;228
COKUM;3542;19
COLAC;3250;5505
COLAC COLAC;3707;51
COLAC EAST;3249;1
COLAC EAST;3250;256
COLAC WEST;3250;114
COLBINABBIN;3559;289
COLBROOK;3342;32
COLDSTREAM;3770;996
COLERAINE;3315;953
COLIGNAN;3494;172
COLLINGWOOD;3066;6126
COMBIENBAR;3889;89
CONCONGELLA;3377;1
CONCONGELLA;3384;164
CONDAH;3303;154
CONDAH SWAMP;3286;11
CONGUPNA;3633;276
CONNEWARRE;3227;539
CONNEWIRRICOO;3318;54
COOJAR;3315;34
COOLAROO;3048;1703
COOMA;3616;64
COOMBOONA;3629;78
COOMOORA;3461;174
COONGULLA;3860;403
COONOOER BRIDGE;3477;90
